German_Headword,English_Meaning,Example_Sentence_DE,Example_Sentence_EN,,YouGlish_Link
rechnen,to calculate / do math,Sarah kann gut <b>rechnen</b>.,Sarah can calculate well.,,https://youglish.com/pronounce/rechnen/german
"die Rechnung, -en",bill / invoice,Schicken Sie die <b>Rechnung</b> an mich.,Send the bill to me.,,https://youglish.com/pronounce/Rechnung/german
"recht haben | hat recht, hatte recht, hat recht gehabt",to be right,Du <b>hast recht</b>.,You are right.,,https://youglish.com/pronounce/recht/german
rechts,right / to the right,Der Bahnhof ist hier <b>rechts</b>.,The train station is to the right here.,,https://youglish.com/pronounce/rechts/german
reden über (+ Akk.) / von (+ Dat.),to talk / speak,Mit meiner Freundin kann ich über alles <b>reden</b>.,I can talk about everything with my girlfriend.,,https://youglish.com/pronounce/reden/german
der Regen (kein Pl.),rain,Bei <b>Regen</b> gehe ich nicht aus dem Haus.,In rainy weather I don't leave the house.,,https://youglish.com/pronounce/Regen/german
regnen,to rain,"Wenn es <b>regnet</b>, bleiben wir zu Hause.","If it rains, we stay at home.",,https://youglish.com/pronounce/regnen/german
reich,rich / wealthy,Lotte ist <b>reich</b>. Sie hat sehr viel Geld.,Lotte is rich. She has a lot of money.,,https://youglish.com/pronounce/reich/german
"der Reifen, -",tire / tyre,Ich brauche neue <b>Reifen</b> für mein Auto.,I need new tires for my car.,,https://youglish.com/pronounce/Reifen/german
"die Reihe, -n",row / turn,Wir sitzen in der dritten <b>Reihe</b>.,We are sitting in the third row.,,https://youglish.com/pronounce/Reihe/german
"die Reinigung, -en",dry cleaner's,Bringst du bitte die Bluse in die <b>Reinigung</b>?,Could you please take the blouse to the dry cleaner's?,,https://youglish.com/pronounce/Reinigung/german
der Reis (kein Pl.),rice,Ich esse gern <b>Reis</b> mit Gemüse und Fisch.,I like eating rice with vegetables and fish.,,https://youglish.com/pronounce/Reis/german
"die Reise, -n",journey / trip / travel,Wir machen eine <b>Reise</b> nach Österreich.,We are taking a trip to Austria.,,https://youglish.com/pronounce/Reise/german
"das Reisebüro, -s",travel agency,Wir buchen die Reise im <b>Reisebüro</b>.,We are booking the trip at the travel agency.,,https://youglish.com/pronounce/Reisebüro/german
"der Reiseführer, -",travel guide / guide book,Ich kaufe mir einen <b>Reiseführer</b> von Berlin.,I am buying a travel guidebook for Berlin.,,https://youglish.com/pronounce/Reiseführer/german
"reisen | reist, reiste, ist gereist",to travel,Ich <b>reise</b> gern.,I like traveling.,,https://youglish.com/pronounce/reisen/german
"reiten | reitet, ritt, ist geritten",to ride (horse),Möchtest du <b>reiten</b> lernen?,Would you like to learn horseback riding?,,https://youglish.com/pronounce/reiten/german
renovieren,to renovate,Wir <b>renovieren</b> das ganze Haus.,We are renovating the whole house.,,https://youglish.com/pronounce/renovieren/german
"der Rentner, - / die Rentnerin, -nen",pensioner / retiree,Mein Onkel arbeitet nicht mehr. Er ist <b>Rentner</b>.,My uncle no longer works. He is a pensioner.,,https://youglish.com/pronounce/Rentner/german
"die Reparatur, -en",repair,Die <b>Reparatur</b> ist sehr teuer.,The repair is very expensive.,,https://youglish.com/pronounce/Reparatur/german
reparieren,to repair / fix,Er muss den Motor <b>reparieren</b>.,He has to repair the engine.,,https://youglish.com/pronounce/reparieren/german
reservieren,to reserve / book,Reservieren Sie bitte ein Doppelzimmer.,Please <b>reserve</b> a double room.,,https://youglish.com/pronounce/reservieren/german
"der Rest, -e",rest / remainder,Den <b>Rest</b> gebe ich dir später.,I'll give you the remainder later.,,https://youglish.com/pronounce/Rest/german
"das Restaurant, -s",restaurant,Wir essen heute in einem <b>Restaurant</b>.,We are eating in a restaurant today.,,https://youglish.com/pronounce/Restaurant/german
"das Rezept, -e",recipe / prescription,Kannst du mir bitte das <b>Rezept</b> geben?,Could you please give me the recipe?,,https://youglish.com/pronounce/Rezept/german
"die Rezeption, -en",reception desk,Geben Sie bitte den Schlüssel an der <b>Rezeption</b> ab.,Please hand in the key at the reception.,,https://youglish.com/pronounce/Rezeption/german
richtig,right / correct,Das ist <b>richtig</b>.,That is correct.,,https://youglish.com/pronounce/richtig/german
"riechen nach (+ Dat.) | riecht, roch, hat gerochen",to smell,Diese Blumen <b>riechen</b> gut.,These flowers smell good.,,https://youglish.com/pronounce/riechen/german
"das Rind, -er",beef / cattle,Ich esse nur Fleisch vom <b>Rind</b>.,I only eat beef.,,https://youglish.com/pronounce/Rind/german
"der Ring, -e",ring,Ich habe meinen <b>Ring</b> verloren.,I lost my ring.,,https://youglish.com/pronounce/Ring/german
"der Rock, -e",skirt,Der <b>Rock</b> ist zu eng.,The skirt is too tight.,,https://youglish.com/pronounce/Rock/german
romantisch,romantic,Dieser Film ist sehr <b>romantisch</b>.,This film is very romantic.,,https://youglish.com/pronounce/romantisch/german
"die Rose, -n",rose,Er schenkt seiner Freundin rote <b>Rosen</b> zum Geburtstag.,He gives his girlfriend red roses for her birthday.,,https://youglish.com/pronounce/Rose/german
"der Rücken, -",back (body),Mein <b>Rücken</b> tut mir weh.,My back hurts.,,https://youglish.com/pronounce/Rücken/german
"der Rucksack, -e",backpack / rucksack,Ich nehme lieber einen <b>Rucksack</b> als einen Koffer mit.,I'd rather take a backpack than a suitcase.,,https://youglish.com/pronounce/Rucksack/german
"rufen | ruft, rief, hat gerufen",to call / shout,Rufst du bitte die Kinder?,Will you please <b>call</b> the children?,,https://youglish.com/pronounce/rufen/german
die Ruhe (kein Pl.),peace / quiet,Meine Großmutter braucht viel <b>Ruhe</b>.,My grandmother needs a lot of rest.,,https://youglish.com/pronounce/Ruhe/german
ruhig,quiet / calm,Ich möchte ein <b>ruhiges</b> Zimmer.,I would like a quiet room.,,https://youglish.com/pronounce/ruhig/german
rund,round / approximately,Unser Wohnzimmertisch ist <b>rund</b>.,Our living room table is round.,,https://youglish.com/pronounce/rund/german
"der Rundgang, -e",tour / walking tour,Der <b>Rundgang</b> durch das Schloss beginnt in wenigen Minuten.,The walking tour of the castle begins in a few minutes.,,https://youglish.com/pronounce/Rundgang/german
"die Sache, -n",thing / matter,Ihr könnt eure <b>Sachen</b> im Hotel lassen.,You can leave your things at the hotel.,,https://youglish.com/pronounce/Sache/german
"der Saft, -e",juice,Möchtest du einen Apfel<b>saft</b>?,Would you like an apple juice?,,https://youglish.com/pronounce/Saft/german
sagen über (+ Akk.) / von (+ Dat.),to say / tell,"Entschuldigung, was haben Sie <b>gesagt</b>?","Excuse me, what did you say?",,https://youglish.com/pronounce/sagen/german
"der Salat, -e",salad / lettuce,Wie schmeckt dir der <b>Salat</b>?,How do you like the salad?,,https://youglish.com/pronounce/Salat/german
"das Salz, -e",salt,"Entschuldigung, kann ich bitte <b>Salz</b> haben?","Excuse me, may I please have salt?",,https://youglish.com/pronounce/Salz/german
sammeln,to collect / gather,Peter <b>sammelt</b> Briefmarken.,Peter collects stamps.,,https://youglish.com/pronounce/sammeln/german
"der Satz, -e",sentence,Den letzten <b>Satz</b> verstehe ich nicht.,I do not understand the last sentence.,,https://youglish.com/pronounce/Satz/german
sauber,clean,Bringen Sie mir bitte ein <b>sauberes</b> Glas!,Please bring me a clean glass!,,https://youglish.com/pronounce/sauber/german
"sauer (saurer, am sauersten)",sour / mad,Zitronen sind mir zu <b>sauer</b>.,Lemons are too sour for me.,,https://youglish.com/pronounce/sauer/german
schade,pity / shame,"<b>Schade</b>, dass du nicht kommen kannst.",Too bad that you cannot come.,,https://youglish.com/pronounce/schade/german
schädlich für (+ Akk.),harmful / damaging,Rauchen ist <b>schädlich</b> für die Gesundheit.,Smoking is harmful to health.,,https://youglish.com/pronounce/schädlich/german
"schaffen | schafft, schaffte, hat geschafft",to manage / accomplish,Ich <b>schaffe</b> das nicht alleine.,I cannot manage that alone.,,https://youglish.com/pronounce/schaffen/german
"der Schalter, -",counter / switch,Gehen Sie bitte zum <b>Schalter</b> drei!,Please go to counter three!,,https://youglish.com/pronounce/Schalter/german
"scharf (schärfer, am schärfsten)",sharp / spicy,Die Suppe ist mir zu <b>scharf</b>.,The soup is too spicy for me.,,https://youglish.com/pronounce/scharf/german
"scheinen | scheint, schien, hat geschienen",to shine / seem,Die Sonne <b>scheint</b>.,The sun is shining.,,https://youglish.com/pronounce/scheinen/german
schenken,to gift / give,Was <b>schenken</b> wir Michael zum Geburtstag?,What are we giving Michael for his birthday?,,https://youglish.com/pronounce/schenken/german
"die Schere, -n",scissors,Die <b>Schere</b> schneidet nicht gut.,The scissors do not cut well.,,https://youglish.com/pronounce/Schere/german
schicken an (+ Akk.),to send,Bitte <b>schicken</b> Sie mir eine E-Mail.,Please send me an email.,,https://youglish.com/pronounce/schicken/german
"das Schiff, -e",ship / boat,Wir fahren mit dem <b>Schiff</b> von Basel nach Köln.,We are traveling by ship from Basel to Cologne.,,https://youglish.com/pronounce/Schiff/german
"das Schild, -er",sign / shield,Haben Sie das <b>Schild</b> nicht gesehen?,Didn't you see the sign?,,https://youglish.com/pronounce/Schild/german
schimpfen über/auf (+ Akk.),to scold / rant,Warum <b>schimpfst</b> du denn so laut?,Why are you scolding so loudly?,,https://youglish.com/pronounce/schimpfen/german
"der Schirm, -e",umbrella,"Nimm den <b>Schirm</b> mit, es regnet.","Take the umbrella with you, it's raining.",,https://youglish.com/pronounce/Schirm/german
"schlafen | schläft, schlief, hat geschlafen",to sleep,Ich <b>schlafe</b> meistens acht Stunden.,I usually sleep eight hours.,,https://youglish.com/pronounce/schlafen/german
"das Schlafzimmer, -",bedroom,Hier ist das <b>Schlafzimmer</b>.,Here is the bedroom.,,https://youglish.com/pronounce/Schlafzimmer/german
"schlecht (schlechter, am schlechtesten)",bad / unwell,Das Wetter ist <b>schlecht</b>.,The weather is bad.,,https://youglish.com/pronounce/schlecht/german
"schließen | schließt, schloss, hat geschlossen",to close / shut,Bitte <b>schließen</b> Sie die Tür.,Please close the door.,,https://youglish.com/pronounce/schließen/german
schlimm,bad / terrible,"Kein Problem, das ist nicht so <b>schlimm</b>.","No problem, that isn't so bad.",,https://youglish.com/pronounce/schlimm/german
"das Schloss, -er",castle / lock,Am Wochenende besichtigen wir <b>Schloss</b> Neuschwanstein.,On the weekend we will visit Neuschwanstein Castle.,,https://youglish.com/pronounce/Schloss/german
"der Schluss, -e",end / conclusion,Zum <b>Schluss</b> nochmals herzlichen Dank.,"In conclusion, heartfelt thanks once again.",,https://youglish.com/pronounce/Schluss/german
"der Schlüssel, -",key,Ich finde meinen <b>Schlüssel</b> nicht.,I cannot find my key.,,https://youglish.com/pronounce/Schlüssel/german
schmecken nach (+ Dat.),to taste,<b>Schmeckt</b> dir die Suppe?,Do you like the soup?,,https://youglish.com/pronounce/schmecken/german
"der Schmerz, -en",pain / ache,Haben Sie <b>Schmerzen</b>?,Are you in pain?,,https://youglish.com/pronounce/Schmerz/german
schmutzig,dirty,Das Handtuch ist <b>schmutzig</b>.,The towel is dirty.,,https://youglish.com/pronounce/schmutzig/german
der Schnee (kein Pl.),snow,In den Bergen liegt viel <b>Schnee</b>.,In the mountains there is a lot of snow.,,https://youglish.com/pronounce/Schnee/german
"schneiden (sich) | schneidet, schnitt, hat geschnitten",to cut,Das Messer <b>schneidet</b> nicht gut.,The knife does not cut well.,,https://youglish.com/pronounce/schneiden/german
schneien,to snow,Morgen <b>schneit</b> es.,Tomorrow it will snow.,,https://youglish.com/pronounce/schneien/german
schnell,fast / quick,Warum fährst du so <b>schnell</b>?,Why are you driving so fast?,,https://youglish.com/pronounce/schnell/german
die Schokolade (kein Pl.),chocolate,Julia liebt <b>Schokolade</b>.,Julia loves chocolate.,,https://youglish.com/pronounce/Schokolade/german
schon,already,Ist das Essen <b>schon</b> fertig?,Is the meal already ready?,,https://youglish.com/pronounce/schon/german
schön,beautiful / lovely,Das Bild ist sehr <b>schön</b>.,The picture is very beautiful.,,https://youglish.com/pronounce/schön/german
"der Schrank, -e",wardrobe / cupboard,Die Gläser stehen im <b>Schrank</b>.,The glasses are in the cupboard.,,https://youglish.com/pronounce/Schrank/german
schrecklich,terrible / awful,Ich finde ihren Rock <b>schrecklich</b>.,I find her skirt terrible.,,https://youglish.com/pronounce/schrecklich/german
"schreiben an (+ Akk.) | schreibt, schrieb, hat geschrieben",to write,Ich <b>schreibe</b> dir eine E-Mail.,I will write you an email.,,https://youglish.com/pronounce/schreiben/german
schriftlich,in writing / written,Sie müssen sich <b>schriftlich</b> anmelden.,You must register in writing.,,https://youglish.com/pronounce/schriftlich/german
"der Schuh, -e",shoe,Zieh die <b>Schuhe</b> aus!,Take off your shoes!,,https://youglish.com/pronounce/Schuh/german
"die Schule, -n",school,Meine Tochter geht schon in die <b>Schule</b>.,My daughter already attends school.,,https://youglish.com/pronounce/Schule/german
"der Schüler, - / die Schülerin, -nen",pupil / student,In meinem Kurs sind acht <b>Schülerinnen</b> und fünf Schüler.,In my class there are eight female students and five male students.,,https://youglish.com/pronounce/Schüler/german
"schwach (schwächer, am schwächsten)",weak / faint,Er ist krank und <b>schwach</b>.,He is sick and weak.,,https://youglish.com/pronounce/schwach/german
schwanger,pregnant,Lena ist <b>schwanger</b>.,Lena is pregnant.,,https://youglish.com/pronounce/schwanger/german
"das Schwein, -e",pig / pork,Ich esse kein <b>Schweinefleisch</b>.,I do not eat pork.,,https://youglish.com/pronounce/Schwein/german
"schwer (schwerer, am schwersten)",heavy / difficult,Das ist eine <b>schwere</b> Arbeit.,That is hard work.,,https://youglish.com/pronounce/schwer/german
schwierig,difficult / hard,Die Prüfung war nicht <b>schwierig</b>.,The exam was not difficult.,,https://youglish.com/pronounce/schwierig/german
"das Schwimmbad, -er",swimming pool,Kommst du mit ins <b>Schwimmbad</b>?,Are you coming along to the swimming pool?,,https://youglish.com/pronounce/Schwimmbad/german
"schwimmen | schwimmt, schwamm, ist geschwommen",to swim,Ich <b>schwimme</b> täglich einen Kilometer.,I swim one kilometer every day.,,https://youglish.com/pronounce/schwimmen/german
"der See, -n",lake,Morgen fahren wir mal an einen <b>See</b> schwimmen.,Tomorrow we'll go to a lake to swim.,,https://youglish.com/pronounce/See/german
die See (kein Pl.),sea / ocean,Die <b>See</b> ist heute ruhig.,The sea is calm today.,,https://youglish.com/pronounce/See/german
"sehen | sieht, sah, hat gesehen",to see / look,Ich kann dich nicht <b>sehen</b>.,I cannot see you.,,https://youglish.com/pronounce/sehen/german
"die Sehenswürdigkeit, -en",sight / tourist attraction,Welche <b>Sehenswürdigkeiten</b> gibt es in Frankfurt?,What sights are there in Frankfurt?,,https://youglish.com/pronounce/Sehenswürdigkeit/german
